LDCpointID,PrimaryKey,X_WSG1984,Y_WSG1984
10632,NV_EYDO_ESR_MEAD_2022_MEAD-GMIX-84_V12023-09-01,-114.60710876299999,37.259544783000024
10633,CO_GFO_LUP_2020_Forest_Other-082_V12023-09-01,-107.01107025399995,38.10714395700006
10634,CO_CO_San_Luis_Valley_LUP_2020_OTH-196_V22021-09-01,-106.413183286,38.15540587300006
10635,16082413524599532016-09-01,-106.41315176699999,38.155488313000035
10636,NV_EYDO_ESR_GREG_2022_GREG_LSMIX_03_V12022-09-01,-114.91223524599997,37.217048258000034
10637,NV_EYDO_ESR_GREG_2022_GREG-LSMIX-03_V22023-09-01,-114.91225710599997,37.21705087700008
10638,12061814042469452012-09-01,-114.63351233799995,37.257045911000034
10639,20071308065365262020-09-01,-114.19864177299996,37.31811547800004
10640,CO_CO_Tres_Rios_Field_Office_LUP_2018_PJ-035_V12021-09-01,-108.51147758599996,37.97673368100004
10641,CO_TRFO_LUP_2023_TRFO2023-023_V22023-09-01,-108.51148042699998,37.97675639100004
10642,20164917100312B1,-112.01854287999998,37.60112385800005
10643,NV_EYDO_ESR_MEAD_2022_MEAD-BMIX-25_V12023-09-01,-114.53507805099997,37.27176793900003
10644,12061814122647012012-09-01,-114.60416334299998,37.26207877300004
10645,19072414385719312019-09-01,-110.08930201299995,37.82034281500006
10646,NV_EYDO_ESR_MEAD_2022_MEAD_NATREG_121_V12022-09-01,-114.54968676299995,37.26995577800005
10647,NV_EYDO_ESR_MEAD_2022_MEAD-NATREG-121_V22023-09-01,-114.54967292299995,37.27001240800007
10648,19072708194477122019-09-01,-110.78701614799996,37.74478675900008
10649,CO_RGFO_LUP_2022_RA-NR-008_V12023-09-01,-105.40363497699997,38.23147320000004
10650,COF03000_2019_OTH-2092019-09-01,-105.99520819599996,38.189295505000075
10651,20148109200806B1,-105.986325164,38.19014943600007
10652,UT_GSENM-LUP-Random-2020_Shade-696_V12020-09-01,-111.28540287299995,37.689104169000075
10653,1806060941561442018-09-01,-106.74643032799997,38.13163607800004
10654,CO_GFO_LUP_2020_Forest_Other_033_V12022-09-01,-106.78279608599996,38.128975376000035
10655,CO_SLVFO_LUP_2020_OTH-204_V22023-09-01,-105.82795176999997,38.20252954800003
10656,1807241601539452018-09-01,-105.82789612999994,38.202551148000055
10657,18052910030451672018-09-01,-118.19985411399995,36.701015150000046
10658,CA_BIFO_LUP_2023_BIFO2023-022_V22023-09-01,-118.19982828499997,36.701038390000065
10659,NV_EYDO_ESR_DODG_2023_DODG-NATREG-04_V12023-09-01,-114.05361852799996,37.34127328000005
10660,COF03000_2019_MTN-1782019-09-01,-105.85106071499997,38.201997936000055
10661,15092214294649172015-09-01,-106.35608674499997,38.16414910800006
10662,20164917204209B1,-110.89207286899995,37.73613075100008
10663,20164917100312B2,-112.01708827999994,37.60516385900007
10664,NV_EYDO_ESR_MEAD_2022_MEAD-BMIX-24_V22023-09-01,-114.54083971299997,37.275403329000035
10665,NV_EYDO_ESR_MEAD_2022_MEAD_BMIX_24_V12022-09-01,-114.54082719299998,37.27543085900004
10667,16062308201119152016-09-01,-106.22959175699998,38.17553496800008
10668,NV_EYDO_ESR_DODG_2023_DODG-NATREG-13_V12023-09-01,-114.07217535199999,37.34130248900004
10670,COS01000_2019_SS-0812019-09-01,-108.49905426499998,37.98423524300006
10671,19040911373284732019-09-01,-113.84365171199994,37.37328550800004
10672,20214917100306B1,-111.87899965599996,37.62419737100004
10673,20148109200806B3,-105.98748016499997,38.19519283700003
10674,20208113201117B1,-108.550202405,37.98002093900004
10675,CO_TRFO_LUP_2018_GR_316_V12022-09-01,-108.65499049599998,37.97015938100003
10676,20154937203609B1,-110.31660105699996,37.80257409700005
10677,15061309470267252015-09-01,-111.55352308499994,37.663913087000026
10678,20164917204209B2,-110.89115116899995,37.73996075100007
10679,17072412052177022017-09-01,-106.70934032099996,38.141306082000035
10680,UT_St.George-LUP-Random-2020_CPL-058_V12020-09-01,-113.85085647299996,37.37461386800004
10681,20154937203609B2,-110.31869775799998,37.80426409700004
10683,17062207362518902017-09-01,-106.37947843099994,38.16855663700005
10684,CO_SLVFO_LUP_2020_LOAM_126_V22022-09-01,-106.37944578999998,38.16858226700003
10685,UT_SGFO_LUP_2022_SGFO2022-064_V12023-09-01,-113.95643845199999,37.36268646900004
10686,17071809433233732017-09-01,-111.46515052799998,37.67803100500004
10687,20124953050301B3,-113.86647501599998,37.37536380600005
10688,15060308555823952015-09-01,-111.51347994799994,37.67262981100003
10689,CO_CO_Tres_Rios_Field_Office_LUP_2018_SD-174_V12021-09-01,-108.69871328599999,37.97140386700005
10690,1206181412077932012-09-01,-114.61265874599997,37.27262319400006
10691,CO_UFO_LUP_2018_MMS_097_V12022-09-01,-108.06473721599997,38.03014067700008
10692,20208113201006B1,-108.86661746999994,37.95546921500005
10693,16082410361910722016-09-01,-106.42100342899994,38.16805664500003
10694,CO_CO_San_Luis_Valley_LUP_2020_LOAM-122_V22021-09-01,-106.42098038899996,38.16807267500008
10695,CO_UFO_GUSGHAF_2022_LittleBaldy-134_V12023-09-01,-108.22651197899995,38.01581781500005
10696,19051714473180282019-09-01,-112.08083139399997,37.606415655000035
10697,20208113201006B2,-108.86272906999993,37.95695091500005
10698,20173217201413B1,-114.89827359499998,37.23309542100003
10699,16062110003216292016-09-01,-106.48950176399995,38.16381831000007
10700,CO_CO_San_Luis_Valley_LUP_2020_LOAM-117_V22021-09-01,-106.48950723399997,38.163828100000046
10701,17062010183489052017-09-01,-111.97862810499998,37.61954753300006
10702,15053112570132972015-09-01,-111.32562240299995,37.69713835700003
10703,UT_Grand-Staircase-Escalante-National-Monument-2021_GSENM2021-010_V22021-09-01,-111.32566287199995,37.69714226600007
10704,CO_TRFO_LUP_2023_TRFO2023-044_V22023-09-01,-108.66595179899997,37.97684262100007
10705,COS01000_2019_PJ-0152019-09-01,-108.66595143999996,37.976868221000075
10706,20118109061003R1,-105.95270315799996,38.20563214100008
10707,20124917020702O1,-111.94906966999997,37.62415896600004
10708,NV_EYDO_ESR_MEAD_2022_MEAD_AMIX_01_V12022-09-01,-114.52849122099997,37.28751491100007
10709,NV_EYDO_ESR_MEAD_2022_MEAD-AMIX-01_V22023-09-01,-114.52846836099997,37.28753289100007
10710,1805201227363122018-09-01,-116.74079219899994,36.95580526500004
10711,NV_EYDO_ESR_MEAD_2022_MEAD_FMIX_52_V12022-09-01,-114.59448390299997,37.278845206000035
10712,NV_EYDO_ESR_MEAD_2022_MEAD-FMIX-52_V22023-09-01,-114.59448173299995,37.278876696000054
10713,COF03000_2019_FO-3312019-09-01,-106.08600820699996,38.197175421000054
10714,20193223205008B1,-116.75991050099998,36.95348026400006
10715,20173217201413B2,-114.90147359599997,37.236223720000055
10716,CO_GFO_LUP_2020_Forest_Other_076_V12022-09-01,-107.26016252899996,38.10490693100007
10717,20193223205008B2,-116.75327050099997,36.95532026400008
10718,16062215214939202016-09-01,-106.30942675599994,38.181623314000035
10719,CO_CO_San_Luis_Valley_LUP_2020_HILL-002_V22021-09-01,-106.30943818599997,38.18165857400004
10720,CO_UFO_GUSGHAF_2022_LittleBaldy-135_V12023-09-01,-108.22749674999993,38.02122508600007
10721,COF07000_2020_WySage-22622019-09-01,-106.67779614499995,38.15363844600006
10722,UT_St.George-LUP-Random-2020_SC-257_V12020-09-01,-113.95886367299994,37.369788769000024
10723,CO_CO_Tres_Rios_Field_Office_LUP_2018_GR-309_V12021-09-01,-108.66413197999998,37.981354571000054
10724,20124953050301B1,-113.86947001799996,37.38274880700004
10725,12061814111295752012-09-01,-114.58509375099999,37.28370709800003
10726,COF07000_2019_WySage-22532019-09-01,-106.74207724899996,38.14980299100006
10727,CO_GFO_LUP_2020_WySage-2253_V22023-09-01,-106.74207172899997,38.14982756200004
10728,CO_CO_Uncompahgre_Field_Office_LUP_2018_PJ-153_V12021-09-01,-108.077408059,38.036370788000056
10729,20218109200813B1,-105.85853343899998,38.21767114900006
10730,19091710350129532019-09-01,-113.85038171299999,37.38606550900005
10731,CO_TRFO_LUP_2018_SS_133_V12022-09-01,-108.74666199699999,37.974883095000045
10732,20164937203602B1,-110.24165274499995,37.824330806000034
10733,CO_SLVFO_LUP_2020_LOAM_156_V22022-09-01,-106.35949574799997,38.18159710100008
10734,17081608291047032017-09-01,-106.35952342699994,38.18161498000006
10735,NV_EYDO_ESR_DODG_2023_DODG-NATREG-01_V12023-09-01,-114.060805201,37.35931262100007
10736,CO_GFO_LUP_2020_Other-2172_V12023-09-01,-107.21862769999996,38.113139025000066
10737,CO_San-Luis-Valley-Field-Office-2020_FOREST-NR-007_V12020-09-01,-106.01386550299999,38.20843306700005
10738,20218109200813B2,-105.85503513899994,38.220582850000035
10739,NV_EYDO_ESR_GREG_2022_GREG_LSMIX_04_V12022-09-01,-114.90016024499994,37.241822152000054
10740,NV_EYDO_ESR_GREG_2022_GREG-LSMIX-04_V22023-09-01,-114.900138745,37.24187328100004
10741,17070515181834122017-09-01,-110.88605116899998,37.75586575400007
10742,20178113200305B1,-108.11270231699996,38.036652675000035
10743,UT_GSENM-LUP-Random-2020_Blackbrush-102_V12020-09-01,-112.09670433799994,37.61495114500008
10744,17081609431074882017-09-01,-111.38624173399995,37.69944305300004
